Timestamp,Result,Accuracy,FAR,FRR
2026-03-07 12:17:09,Access Granted,100.00,0.00,0.00
2026-03-07 12:17:32,Access Granted,100.00,0.00,0.00
2026-03-07 12:17:33,Access Granted,100.00,0.00,0.00
2026-03-07 12:17:33,Access Granted,100.00,0.00,0.00
2026-03-07 23:07:17,Unknown,N/A,Denied
2026-03-08 12:49:22,Unknown,N/A,Denied � Spoof,Yes
2026-03-08 12:49:22,Unknown,N/A,Denied � Spoof,Yes
2026-03-08 12:49:22,Unknown,N/A,Denied � Spoof,Yes
2026-03-08 12:49:22,Unknown,N/A,Denied � Spoof,Yes
2026-03-08 12:49:23,k ,67,Granted,No
2026-03-08 12:49:23,k ,67,Granted,No
2026-03-08 12:49:24,m,2,Granted,No
2026-03-08 12:49:24,m,2,Granted,No
2026-03-08 12:49:25,km,3,Granted,No
2026-03-08 12:49:25,m,2,Granted,No
2026-03-08 12:49:26,k ,67,Granted,No
2026-03-08 12:49:26,k ,67,Granted,No
2026-03-08 12:49:27,km,2,Granted,No
2026-03-08 12:49:27,k ,67,Granted,No
2026-03-08 12:49:28,k ,67,Granted,No
2026-03-08 12:49:28,km,3,Granted,No
2026-03-08 12:49:29,km,2,Granted,No
2026-03-08 12:49:29,km,3,Granted,No
2026-03-08 12:49:30,km,3,Granted,No
2026-03-08 12:49:30,km,2,Granted,No
2026-03-08 12:49:30,m,2,Granted,No
2026-03-08 12:49:31,km,3,Granted,No
2026-03-08 12:49:31,Unknown,N/A,Denied � Spoof,Yes
2026-03-08 12:49:32,km,2,Granted,No
2026-03-08 12:49:32,km,2,Granted,No
2026-03-08 12:49:33,km,3,Granted,No
2026-03-08 12:49:33,km,2,Granted,No
2026-03-08 12:49:33,Unknown,N/A,Denied � Spoof,Yes
2026-03-08 12:49:33,Unknown,N/A,Denied � Spoof,Yes
2026-03-08 12:49:34,Unknown,N/A,Denied � Spoof,Yes
2026-03-08 12:49:34,km,2,Granted,No
2026-03-08 12:49:34,Unknown,N/A,Denied � Spoof,Yes
2026-03-08 12:49:34,Unknown,N/A,Denied � Spoof,Yes
2026-03-08 12:49:35,km,2,Granted,No
2026-03-08 12:49:35,km,2,Granted,No
2026-03-08 12:49:36,m,2,Granted,No
2026-03-08 12:49:36,km,2,Granted,No
2026-03-08 12:49:37,km,2,Granted,No
2026-03-08 12:49:37,km,2,Granted,No
2026-03-08 12:49:38,m,2,Granted,No
